id,name,host_id,host_name,neighbourhood_cleansed,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,city
643897568941247053,Millennium Park Paradise (2BD/2BA),1118796,Stephanie,Loop,41.88619,-87.62677,Entire home/apt,258.0,6,125,2025-06-02,3.49,191,Chicago
644730501256968407,Avondale Chicago -  1 of the world's coolest hoods,130065939,Benjamin,Avondale,41.94448,-87.72051,Entire home/apt,130.0,3,64,2025-05-27,1.83,235,Chicago
644753978447826060,"Blueground | Loop, roof & lounge, same block as L",107434423,Blueground,Loop,41.87710939999999,-87.6338518,Entire home/apt,251.0,32,0,No review,0.0,222,Chicago
644767713528701890,+Queen Bed-Safe Area-TV-Mini-Fridge-Many Amenities,132851466,Joey,Norwood Park,41.99296,-87.7832,Private room,57.0,1,7,2025-05-31,0.19,174,Chicago
644863764114762742,Incredible 1Br in the Heart of DT Great Amenities!,391945218,Matt,Loop,41.88462,-87.62591,Entire home/apt,298.0,32,2,2023-12-24,0.09,73,Chicago
644876126977164218,Sunny Getaway Steps from Bucktown + Wicker Park,409349669,Mark,Logan Square,41.91815,-87.67558,Entire home/apt,138.0,2,112,2025-05-31,3.15,209,Chicago
644879181786251141,"Lovely, cozy one bedroom close to all amenities",375588329,Abel,Albany Park,41.97251,-87.72698,Private room,65.0,32,0,No review,0.0,365,Chicago
644881246160753977,Stunning 1Br 1Ba Gold Coast Incredible Amenities!,391945218,Matt,Near North Side,41.89813,-87.63209,Entire home/apt,199.0,32,0,No review,0.0,60,Chicago
644934781970464682,Sunny bright apartment in Pilsen,1971382,Esmirna,Lower West Side,41.85713784775504,-87.66396023333073,Entire home/apt,125.0,3,2,2025-05-26,0.14,204,Chicago
645305104897024342,"Blueground | W. Loop, deck, pool & gym, near L",107434423,Blueground,Near West Side,41.88501,-87.64403,Entire home/apt,289.0,32,0,No review,0.0,306,Chicago
645785693593444324,"Spacious Haven Near Green Line, 20mins to Downtown",69378736,Andrea Whitney,Woodlawn,41.78327,-87.61181,Entire home/apt,138.0,2,42,2025-06-01,2.76,67,Chicago
646196695872568403,"Awesome House: Near MSI, Obama Center & UChicago",72651433,Jacob,South Shore,41.76217,-87.59189,Entire home/apt,236.0,3,56,2025-05-19,1.55,34,Chicago
646328042905468802,Chicago Cityview Chic | Gold Coast/River North,276979434,Lawrence A,Near North Side,41.8951123,-87.62663889999999,Entire home/apt,190.0,32,6,2024-10-31,0.3,249,Chicago
646386647082376641,Charming King Bedroom in Loop,431019163,Paul,Loop,41.88397,-87.62794,Private room,269.0,1,62,2025-04-04,1.7,147,Chicago
646455524586428840,Lovely 3-Bedroom unit w/free parking close to City,371036931,Roseanna,Near West Side,41.87007,-87.65368,Entire home/apt,179.0,2,54,2025-06-03,1.53,83,Chicago
647197491411578310,Cozy private room in apartment next to UChicago,7266402,Lauren,Woodlawn,41.78505,-87.59654,Private room,32.0,32,4,2025-06-03,0.21,84,Chicago
647887169347763623,Lovely 1 BR 1BT in Chicago /Lincoln Square,629922,Alexandre,Lincoln Square,41.9780559,-87.6808843,Entire home/apt,167.0,3,34,2025-05-12,0.97,309,Chicago
648069647815374890,Neat 1 bedroom to rent out in my cozy apartment,459453759,Michelle Chandra T,Douglas,41.84558,-87.62693,Private room,85.0,32,22,2024-10-13,0.67,364,Chicago
648538391001763517,Magnificent 1Br 1Ba on River ~ Great Amenities,391945218,Matt,Near West Side,41.88645,-87.63904,Entire home/apt,215.0,32,2,2025-02-07,0.12,136,Chicago
648818181931720081,Stunning Suite 2 @ Hotel Nemo Downtown,2619611,Andrew,West Town,41.9002,-87.67133,Entire home/apt,184.0,32,4,2024-10-31,0.19,268,Chicago
649144703975839833,Lovely 3 bedroom condo with front patio.,22345626,Jason,West Town,41.90553,-87.69597,Entire home/apt,250.0,3,55,2025-05-19,1.52,337,Chicago
649366334604413975,"Cute, Cozy Garden in Budlongwoods",270421564,Fabiana,Lincoln Square,41.9775526,-87.6934405,Entire home/apt,95.0,3,7,2025-04-20,0.21,342,Chicago
649465473392034507,Cozy 1-bedroom garden apartment near MidwayAirport,49803776,Edwin,Archer Heights,41.8068107,-87.7219644,Entire home/apt,76.0,2,92,2025-06-01,3.73,318,Chicago
649906858536454609,Luxury Penthouse Loft | Heart of Fulton Market,464407683,Hubbard Holdings,West Town,41.8903205,-87.6507402,Entire home/apt,625.0,2,128,2025-06-10,3.62,95,Chicago
649974943915158739,"Extravagant Old Town Home w/ Sauna, Rooftop Lounge",169726238,Azadeh,Near North Side,41.90919,-87.6375,Entire home/apt,1336.0,3,59,2025-06-09,1.63,262,Chicago
649987969908932555,Magnificent 3 Bedroom - Perfect Chicago Getaway!,5228189,Matthew,Irving Park,41.96057,-87.72264,Entire home/apt,165.0,2,56,2025-05-11,1.63,253,Chicago
650109685913019875,Two Level Penthouse w/ Private Rooftop!,21662891,Alex,West Town,41.9008279,-87.67083939999999,Entire home/apt,280.0,2,74,2024-11-02,2.13,101,Chicago
650160703312946665,"Safe Neighborhood, off street Parking, remodeled",536586,Cheri,Hermosa,41.91998,-87.72949,Entire home/apt,190.0,32,6,2025-04-04,0.21,310,Chicago
650164651310033026,Gorgeous 1Br 1Ba in the Loop Incredible Building!,391945218,Matt,Loop,41.88332878003284,-87.63333353612747,Entire home/apt,250.0,32,0,No review,0.0,89,Chicago
650243229976365340,Stunning Suite 3 @ Hotel Nemo Downtown,2619611,Andrew,West Town,41.90010786364891,-87.66906328813116,Entire home/apt,218.0,32,2,2024-07-15,0.16,199,Chicago
650312281871362327,Spacious 2 Bedroom Unit Near Pink Line,75475633,Maranielly,North Lawndale,41.85172124174825,-87.71538354456425,Entire home/apt,64.0,32,0,No review,0.0,213,Chicago
650765283746942885,Wicker Elegant Condo sleeps 12,2479544,Stephanie,West Town,41.90488,-87.67403,Entire home/apt,1500.0,2,7,2023-07-30,0.19,313,Chicago
651311198793349838,King Bedroom in Downtown Loop,431019163,Paul,Loop,41.884,-87.62837,Private room,269.0,1,84,2025-06-15,2.33,145,Chicago
651315067121164451,Private King Room in Theatre District,431019163,Paul,Loop,41.88511,-87.63007,Private room,269.0,1,14,2025-02-15,0.39,147,Chicago
651319628968279396,Charming Private Room in Downtown,431019163,Paul,Loop,41.88396,-87.62851,Private room,269.0,1,9,2024-03-07,0.25,147,Chicago
651484679090664597,"Cozy 2BD APT near UC, Medical District, Downtown",124094363,Kaitlin,Lower West Side,41.85488,-87.67943,Entire home/apt,122.0,2,107,2025-05-18,2.97,138,Chicago
651488133561343975,3BD Upscale West Loop Condo on Lake St-Two Decks!,257415407,Kay Lynn,Near West Side,41.88571160142535,-87.65285454690456,Entire home/apt,541.0,3,26,2025-06-15,1.05,99,Chicago
652314641237026985,Urban Home a Walk to El line & Univ of Chicago,86094965,Kimberly,Washington Park,41.7948435,-87.62744959999999,Entire home/apt,161.0,32,0,No review,0.0,365,Chicago
653065502789340325,Magnolia house in Bucktown,52129775,Ervin,Logan Square,41.91447489999999,-87.669347,Entire home/apt,250.0,3,44,2025-06-01,1.25,295,Chicago
653195679606764609,Beautiful 1 bedroom yacht with river front patio,139765116,Jose,North Center,41.95544767654231,-87.69273660535495,Entire home/apt,247.0,32,0,No review,0.0,365,Chicago
653512613542742469,Newly Renovated Studio In the Heart of Pilsen,78950127,Andrew,Lower West Side,41.85271,-87.6853,Entire home/apt,124.0,3,64,2025-06-08,2.1,336,Chicago
653763664101566615,Jumbo Condo steps from Wrigley Field!,40319547,Josh,Lake View,41.9487562,-87.658909,Entire home/apt,190.0,32,6,2025-04-01,0.24,154,Chicago
654249001641943313,“The Incas Empire Suite” - Free Parking,35342456,Roberto,Portage Park,41.93939,-87.75621,Private room,88.0,2,15,2025-06-09,0.45,260,Chicago
654394258321810408,Luxury 2-story 2-bedroom 3-bath Lincoln Park Apt,50666544,Joshua,Lincoln Park,41.92207,-87.64025,Entire home/apt,426.0,3,126,2025-06-15,3.5,241,Chicago
654617661072150372,Modern Gold Coast Highrise,407578957,Giovanni,Near North Side,41.89824706298495,-87.62158066034317,Entire home/apt,132.0,365,0,No review,0.0,358,Chicago
655080337964436331,Spacious Beauty 3BR 3Bath Duplex w/ Roof-Top Deck,56086056,Carla,Grand Boulevard,41.82333,-87.62515,Entire home/apt,450.0,1,18,2024-10-14,0.71,343,Chicago
655174100685660152,Incredible Amenity-Packed Studio in the West Loop!,391945218,Matt,Near West Side,41.87782021567431,-87.64779520509086,Entire home/apt,200.0,32,0,No review,0.0,176,Chicago
655201560077947130,Feels like a Private 1 Bed Apartment!,298454355,Blythe,Logan Square,41.91790107490105,-87.70725715767212,Private room,115.0,2,80,2025-06-08,2.53,149,Chicago
655255330176064897,"Cheerful bdrm free prkng, approx.15 mins to dwntwn",48764722,Doris,Austin,41.9001,-87.7565,Private room,82.0,2,5,2024-10-14,0.14,90,Chicago
655441181710604907,*Extended Stay* Chicago FHS Rental - W 64th St,136825532,FreeStand Home Solutions,Clearing,41.7749,-87.77385,Entire home/apt,395.0,32,0,No review,0.0,180,Chicago
655602871872659496,Ukrainian Village Hideaway,25077657,Gina,West Town,41.8963,-87.68361,Entire home/apt,164.0,2,46,2025-05-26,1.43,162,Chicago
656327444423322172,1 bed half bath private guest unit (attic),9691039,Zack,Mckinley Park,41.82785,-87.68326,Entire home/apt,24.0,32,0,No review,0.0,87,Chicago
657994894090367037,Modern 2 Bed/1 Bath Condo. Great Location and View,466232266,Eric,Near North Side,41.8951123,-87.62663889999999,Entire home/apt,175.0,28,9,2025-05-31,0.27,231,Chicago
658020245147652462,Chateau de Woodlawn  Peaceful 3 bedroom apartment.,372044115,Tracye,Woodlawn,41.7743,-87.61273,Entire home/apt,197.0,2,52,2025-03-30,1.56,266,Chicago
658174043006808192,Agate Room,10821897,Valeriy,South Lawndale,41.85235,-87.7073,Private room,61.0,2,26,2025-05-19,0.73,174,Chicago
658436757339716693,*Extended Stay* Chicago FHS Rental - Vernon Ave,136825532,FreeStand Home Solutions,Chatham,41.74631,-87.615,Entire home/apt,395.0,32,0,No review,0.0,180,Chicago
658473034991914255,Cozy and clean apartment in North Center,737585,Pat,North Center,41.95608,-87.69181,Entire home/apt,115.0,2,75,2025-06-17,2.22,112,Chicago
658890333443186875,"Cozy and Quiet, Remodeled Unit on 3 lots!",434152532,Kevin,Englewood,41.78686,-87.62877,Private room,110.0,32,3,2024-08-10,0.08,320,Chicago
658904039082440625,Modern Remodeled 2 bed 1 bath unit on 3 lots,434152532,Kevin,Englewood,41.78681,-87.62855,Private room,102.0,32,6,2024-12-02,0.19,341,Chicago
659499704359748152,Penthouse Corner 3BR in Streeterville | Roof Deck,126179580,Staywell,Near North Side,41.8986092,-87.6206819,Entire home/apt,415.0,2,150,2025-06-11,4.33,280,Chicago
659645330677965914,"Lincoln Square Oasis - Bright, clean studio",1676552,Erika,Lincoln Square,41.9669264,-87.69449619999999,Entire home/apt,178.0,3,50,2025-06-08,1.43,308,Chicago
660108949014721674,Spacious 3 bedrooms 5 mins from Lakeshore Drive,5990273,Micheal,South Chicago,41.7315309,-87.54722149999999,Entire home/apt,366.0,1,34,2025-06-08,1.0,315,Chicago
660417700935353935,Lovely 1 bedroom near Fulton market!,30272013,Marcus,West Town,41.89218,-87.64744,Entire home/apt,255.0,32,0,No review,0.0,365,Chicago
660465263800127445,Stylish 3BR Suite Near Soldier Field & McCormick,243035563,Studebecker,Near South Side,41.85394,-87.6273,Entire home/apt,301.0,2,68,2025-05-20,1.94,350,Chicago
660920869163406496,"Luxéry Stay ""Game Of Thrones - McCormick/WinTrust",457835507,Patricia,Near South Side,41.8541152,-87.6227943,Entire home/apt,399.0,2,17,2025-03-16,0.53,299,Chicago
661055563086986519,Hyde Park! 2 min UofC 6mi downtown!,403573904,Connie,Hyde Park,41.79591,-87.58991,Entire home/apt,334.0,2,20,2025-06-15,0.57,357,Chicago
661335305594513869,CitySlickers Crash Pad /Free Parking /No Clean Fee,273784397,Kevin,Bridgeport,41.8382,-87.6487,Entire home/apt,176.0,2,143,2025-06-14,4.98,59,Chicago
661515013685917153,Race Entire Unit,21891111,Ming,West Town,41.89115,-87.67348,Entire home/apt,100.0,7,45,2025-05-19,1.26,292,Chicago
662002660738084001,Gorgeous 4 Bedroom Duplex  In Chicago,241577283,Vairrun,Woodlawn,41.78015,-87.60028,Entire home/apt,337.0,1,83,2025-06-08,2.41,177,Chicago
662945260229777032,Furnished 3 Bedroom 2 Bathroom home,413782818,Cristian,Dunning,41.93974,-87.7853,Entire home/apt,317.0,1,42,2025-05-26,1.45,344,Chicago
663129806292383761,Lovely 1-bedroom apartment in heart of Wicker Park,81779,Laura,West Town,41.90541,-87.67387,Entire home/apt,275.0,1,16,2024-10-15,0.45,128,Chicago
663974186332507855,Large sophisticated Lrg TV Perfect location,243779291,Hakim,Albany Park,41.96825,-87.72254,Private room,46.0,1,27,2025-05-19,0.97,341,Chicago
664725623771057757,2-story condo / 3-Minute walk to Wrigley Field,467896043,Tony,Lake View,41.94898,-87.65887,Entire home/apt,766.0,3,87,2025-06-03,2.54,258,Chicago
665791266661725998,"Light filled open plan, remodeled, off St Parking",536586,Cheri,Hermosa,41.92206,-87.73151,Entire home/apt,184.0,32,11,2025-05-11,0.32,299,Chicago
665899022705423412,Sunny Historic Cottage on the Park,8012961,Megan,Logan Square,41.920616362348206,-87.68441088465575,Entire home/apt,251.0,2,26,2024-12-01,0.74,12,Chicago
665917549123068457,The property formerly  known as Casa de Walter,79329089,Brandon,North Center,41.93964,-87.67721,Private room,155.0,32,0,No review,0.0,365,Chicago
666380301090914052,"Blueground | S. Loop, gym & spa, nr Grant Park",107434423,Blueground,Near South Side,41.8670646,-87.6231114,Entire home/apt,310.0,32,0,No review,0.0,153,Chicago
666672711514359250,Modern Downtown Home with Rooftop and Skyline View,71488,Doug,West Town,41.89753515916479,-87.65694978465575,Entire home/apt,637.0,2,38,2025-03-30,1.15,94,Chicago
667336979048462619,The Banksy-Free Parking-KingBed-Firepit-Rooftop,36760167,Robert,Near West Side,41.877,-87.68389,Entire home/apt,399.0,2,44,2025-05-26,1.27,342,Chicago
667889958572734316,"Perfect 4 BDR apt, Northside, Free parking, CUBS",143044138,Johnie,Irving Park,41.9533126,-87.7060424,Entire home/apt,327.0,1,62,2025-06-15,1.83,325,Chicago
667948957684071177,NEW ADORABLE 2/2 LOCATED IN HISTORIC GREYSTONE,22055367,Maria,Douglas,41.83383,-87.62166,Entire home/apt,180.0,2,65,2025-06-09,1.86,274,Chicago
668194691463853399,Cozy Irving Park 3BR Suite - by O'Hare & Downtown,157235585,Abia,Irving Park,41.94436,-87.73455,Entire home/apt,242.0,2,113,2025-06-14,3.4,72,Chicago
668226569851234822,Amazing! Wicker Park’s little secret Hideaway!,70332680,Lina,West Town,41.907315,-87.6702686,Entire home/apt,190.0,3,64,2025-06-02,1.84,266,Chicago
668726727255245788,Gorgeous 4/2.5 Greystone Home | Wrigley,434462119,GOATstays,Uptown,41.95502,-87.65266,Entire home/apt,247.0,32,29,2025-05-24,0.85,315,Chicago
668932652455639020,Cozy Blue 2BR Apt w Free Parking/9 min from MDW,407186551,Johanna,Chicago Lawn,41.78051920525724,-87.71074609364013,Entire home/apt,105.0,2,122,2025-06-11,3.66,314,Chicago
668958388730805856,Charming & Comfy Gem ~ 10 Mins to Downtown ~Patio!,465428850,Stephanie And Zach,West Town,41.89147,-87.67062,Entire home/apt,12643.0,2,72,2025-05-31,2.51,249,Chicago
669222996858014350,"Penthouse, Lux stay near Downtown, McComick & Lake",53858036,Zainab,Kenwood,41.81354,-87.60016,Entire home/apt,199.0,2,31,2025-06-12,0.91,283,Chicago
669577510168739004,The Safe House,469122810,Aubrey,Lower West Side,41.85761,-87.68161,Entire home/apt,85.0,32,13,2025-05-08,0.39,299,Chicago
669609685319714177,Comfy Lincoln Square guest apartment,121899187,Mark,Lincoln Square,41.96393,-87.68171,Entire home/apt,195.0,1,19,2024-11-18,0.56,168,Chicago
669783943010412759,Spacious 3BR 420 Friendly Near McCormick • Parking,243035563,Studebecker,Near South Side,41.85436,-87.62487,Entire home/apt,367.0,2,98,2025-05-25,2.77,358,Chicago
669850901654310442,Modern 2 bedrooms with free parking spot,71708336,Jasmine,Albany Park,41.96671,-87.72085,Entire home/apt,229.0,2,25,2025-06-02,0.73,80,Chicago
670115080994972920,The Cozy Nest: King Bed in Quiet and Safe Condo,277460072,Arsène,Washington Park,41.78546,-87.61701,Entire home/apt,409.0,2,18,2024-10-28,0.54,108,Chicago
670218806951999111,"Cheerful 4 bedroom, 3 bathroom spacious home",193776367,Joyce,Washington Heights,41.71981,-87.6602,Entire home/apt,211.0,2,28,2025-05-26,1.02,316,Chicago
670265497248401810,2 Bed 2 Bath in Roscoe Village,179677118,Nik,North Center,41.9365304729658,-87.6830035745537,Entire home/apt,112.0,32,1,2025-05-19,1.0,264,Chicago
670695401930795029,"Blueground | Loop, gym, pool & lounge, near L",107434423,Blueground,Loop,41.8860812,-87.63422229999998,Entire home/apt,297.0,32,1,2023-01-15,0.03,352,Chicago
670696013417520622,"Blueground | Loop, doorman & gym, nr L",107434423,Blueground,Loop,41.8772287,-87.6290111,Entire home/apt,329.0,32,0,No review,0.0,307,Chicago
670960177752658643,Cozy Suite 201,265059752,Floraline,Calumet Heights,41.73268,-87.58369,Entire home/apt,91.0,3,19,2025-06-08,0.55,349,Chicago
671015054572757157,Private hot tub - King bed suite - Free parking,420230628,Cody,Near West Side,41.870133978662686,-87.66136668465576,Entire home/apt,274.0,2,208,2025-05-25,5.94,243,Chicago
671196671918910923,Quiet stay in Private Room,6088938,Eric,Beverly,41.71526,-87.67125,Private room,53.0,2,18,2025-06-10,0.51,328,Chicago
671454153913696950,Pampas Room,258297883,Abilkhair,Humboldt Park,41.89084,-87.71884,Private room,67.0,1,33,2025-06-02,0.95,362,Chicago
672378117100072720,Comfortable 3-bedroom Garden Unit in Chicago,101096846,Jade,Avondale,41.94185,-87.71603,Entire home/apt,169.0,2,49,2025-06-15,1.41,259,Chicago
672457858761187424,Smokers Preferred 420 friendly,309840213,Jerome,Brighton Park,41.81928715351932,-87.68889954658127,Entire home/apt,264.0,3,3,2025-06-08,3.0,106,Chicago
672520701792298609,Bienvenidos! Home Away from Home,469856291,Mayreth A,Auburn Gresham,41.73255,-87.65927,Entire home/apt,165.0,2,106,2025-06-10,3.06,326,Chicago
672611306442525889,Great 3 bedroom rental unit near Logan Square,372605794,David,Avondale,41.93702,-87.73187,Entire home/apt,111.0,2,15,2025-05-07,0.44,133,Chicago
